pitch_therapist_6829-68769_1580-141083;nr; start; end; median; min; max; 5%quantile; 95%quantile
pitch_therapist_6829-68769_1580-141083;34;161.83885581508636;164.9289294668737;196.2064682836806;159.50586879716224;237.74750648946724;166.01091294756563;224.9764662407292
pitch_therapist_6829-68769_1580-141083;38;168.66538309815493;172.04262771500314;181.68934757802953;140.1072971729274;245.7560494158323;151.21925002380652;219.36086031232963
pitch_therapist_6829-68769_1580-141083;40;173.33234274234465;179.83029230328617;183.9162621060284;90.2996714139381;220.84343176399457;155.30835020955436;209.7872550522136
pitch_therapist_6829-68769_1580-141083;42;181.95739840669438;184.4195269738244;185.49431272202972;164.41746774494504;228.69417327240106;168.75591369898655;203.422936111286
pitch_therapist_6829-68769_1580-141083;44;186.46986111568208;190.9287199201344;197.41105257486208;155.0280562904574;299.88299745158974;166.3771503840529;272.08332519913614
pitch_therapist_6829-68769_1580-141083;46;195.42830444537464;202.67663717971794;188.06284065917328;153.18742518764938;227.99522140247942;157.74520882988284;208.0739575266047
pitch_therapist_6829-68769_1580-141083;48;205.71914922955148;209.57559440172957;189.79969171446808;154.74852278861903;281.9032214461743;162.05373091965225;242.63596069696084
pitch_therapist_6829-68769_1580-141083;50;211.99516675490707;216.62369884208175;189.9836509909439;155.02580759491948;265.71162428328086;158.37402780292388;237.05593338989746
pitch_therapist_6829-68769_1580-141083;52;219.4515353473927;223.84113960773846;192.14253736788962;158.88798270114984;262.3739965672769;161.91690383678664;227.26159431278558
pitch_therapist_6829-68769_1580-141083;54;227.7764766313388;233.08913496874425;188.74135783954478;154.13701826330302;239.85222915949075;160.39072067942098;219.3375683099069
pitch_therapist_6829-68769_1580-141083;56;236.63496889302363;240.98073776934007;190.0251900972301;153.0361792448703;265.40868389573103;157.75446925032165;236.87405587409788
pitch_therapist_6829-68769_1580-141083;58;244.88022424696337;247.19618479580393;180.93840624131735;150.02934533324404;262.2725673232945;157.18927712800485;257.34059214829546
pitch_therapist_6829-68769_1580-141083;61;251.77373566338562;254.54325440967327;201.64954961414568;163.90135006852665;286.1504348848102;168.1550496209485;249.92309059306396
pitch_therapist_6829-68769_1580-141083;63;256.61208842796276;258.30382961007047;181.20606445190947;162.72097826033612;250.1330955975187;163.757942968313;241.53451824269905
pitch_therapist_6829-68769_1580-141083;65;267.97336949597036;272.0742027184353;190.4241905338199;157.70097092943186;247.2336184656921;166.2990925092431;234.00325985999152
pitch_therapist_6829-68769_1580-141083;68;275.2996233987506;280.5646546526071;185.90610595757295;150.1230072046018;262.6200011882213;154.83735733821842;243.4060936275671
pitch_therapist_6829-68769_1580-141083;70;286.1738313656821;291.6093479017295;197.93021743002578;157.01886150278506;257.3836076032517;164.14028296543046;238.16468580716162
pitch_therapist_6829-68769_1580-141083;72;295.0087531313388;298.475984850903;184.14795829338624;156.82542882200445;249.15984403898423;162.97121628063593;231.65574801419893
pitch_therapist_6829-68769_1580-141083;74;305.57680491528487;311.2785459921138;177.9964732760234;143.34857000978806;327.4150233462278;155.51060349277867;252.45192824976104
pitch_therapist_6829-68769_1580-141083;76;317.8661454483534;320.28767875788594;198.37495651959674;171.40814780101644;282.9348869678485;174.75801862525833;246.51758941283563
pitch_therapist_6829-68769_1580-141083;78;324.9996232429914;329.57382282864165;183.97540628697158;157.22723723417545;255.86104406376776;161.87667009931664;217.27353425311813
pitch_therapist_6829-68769_1580-141083;80;333.27157717708513;335.1651159699679;177.09189444432525;163.19299174713612;285.4396696224085;166.44467148850825;268.062573063056
pitch_therapist_6829-68769_1580-141083;82;340.3017977956885;342.24541021996794;214.27803893714926;166.71000150380274;255.6857713428213;177.23483787541292;249.28881877316823
pitch_therapist_6829-68769_1580-141083;84;349.2670772565468;352.61146844835343;193.10552694798002;164.05894699007195;247.90015146007605;168.91678621488154;218.09336669159674
pitch_therapist_6829-68769_1580-141083;86;355.85163203114024;360.43083725479164;189.04602368831257;154.77550693763266;262.1026305012718;166.55950203711157;237.5858997482145
pitch_therapist_6829-68769_1580-141083;88;363.4154036274823;365.2879310144906;190.0779133563395;159.3533039000288;227.12076130517792;162.58564708006645;211.00275047725307
pitch_therapist_6829-68769_1580-141083;90;367.94093996500305;369.56545279095445;197.6842487873721;159.21227466483793;214.51607402229095;166.4103868623781;212.0912378578605
pitch_therapist_6829-68769_1580-141083;92;374.6051629987184;376.60123012064685;206.18868555735705;175.30268777582515;236.74665368502966;180.9606237478723;227.2243567480857
pitch_therapist_6829-68769_1580-141083;94;378.5478872265725;381.00262858944893;183.7052570978356;149.45075432132924;248.60575642675076;160.96348473273034;230.530498969625
pitch_therapist_6829-68769_1580-141083;96;385.6626839229156;387.367916452736;190.25137683206555;157.39594072436782;216.07415890367838;166.12150927359673;205.86889791361625
pitch_therapist_6829-68769_1580-141083;98;391.02063793507534;393.08116374761147;190.78677369053236;159.91144106894498;232.21973055576035;163.5544290169346;222.22545251678497
pitch_therapist_6829-68769_1580-141083;100;395.82948543985236;397.86362232317606;189.7165717059471;165.4457860353454;258.422751984155;171.51676415627853;244.79494104891796
pitch_therapist_6829-68769_1580-141083;102;399.92266844723514;405.97831144332656;211.9542202499253;148.85382113744552;276.57058604924185;170.301124914252;233.1367493437736
pitch_therapist_6829-68769_1580-141083;105;407.94187586848585;415.1041998201361;184.69196822356963;152.0497678528138;250.38589171525055;163.78972423760266;213.2764679606544
pitch_therapist_6829-68769_1580-141083;107;418.1345580866387;420.22604986964393;202.4167795765385;156.06617233321901;237.5941204870711;160.60850802447862;227.636324537822
pitch_therapist_6829-68769_1580-141083;109;422.7899793716706;425.80315122922707;191.23327365174998;150.39955613984654;239.3680197615939;161.2936809920035;231.46045593433317
pitch_therapist_6829-68769_1580-141083;112;427.46268094115527;431.40668770577594;208.85058751752769;163.33287127650996;238.26352610574116;170.35443580173023;230.67912711414823
pitch_therapist_6829-68769_1580-141083;115;434.3232262402287;440.216569060582;222.94943054171023;162.74851938545535;285.5903969123225;174.82951542317954;254.54135227144442
