pitch_patient_6829-68769_1580-141083;nr; start; end; median; min; max; 5%quantile; 95%quantile
pitch_patient_6829-68769_1580-141083;44;190.9287199201344;195.42830444537464;222.60618165048123;168.7402194873386;364.89761928424923;179.94862403164316;330.4998790911683
pitch_patient_6829-68769_1580-141083;46;202.67663717971794;205.71914922955148;199.16556003391452;161.47352890521384;384.0901748923029;162.56055246620227;315.50240990190736
pitch_patient_6829-68769_1580-141083;48;209.57559440172957;211.99516675490707;244.08899501056334;229.62237345104344;307.9209211985426;231.58775667861107;291.81471028700014
pitch_patient_6829-68769_1580-141083;50;216.62369884208175;219.4515353473927;185.50581606915986;146.79986149523194;286.3965253043092;150.18685814161472;282.43665856542106
pitch_patient_6829-68769_1580-141083;52;223.84113960773846;227.7764766313388;297.62593057950664;165.5791495941861;382.9129802953823;181.30461248837506;356.9869786038582
pitch_patient_6829-68769_1580-141083;54;233.08913496874425;236.63496889302363;220.44803960937008;184.06694309769227;359.3754036091355;193.37989647632645;335.8997556817778
pitch_patient_6829-68769_1580-141083;56;240.98073776934007;244.88022424696337;253.81396842948155;179.66619930323742;392.6155055035542;182.96015535292878;366.73924651279594
pitch_patient_6829-68769_1580-141083;58;247.19618479580393;251.34866639007367;253.96637795481382;163.33986672669843;377.3681172213116;177.10012184346607;340.38133775342277
pitch_patient_6829-68769_1580-141083;61;254.54325440967327;256.61208842796276;240.7891325404713;192.15327272698818;333.0615660976515;193.23895099253446;301.5675957180755
pitch_patient_6829-68769_1580-141083;63;258.30382961007047;267.97336949597036;222.6057025963433;178.35772205261173;394.9812502505238;182.17993947477274;315.5479258335553
pitch_patient_6829-68769_1580-141083;66;272.66457670914633;275.2996233987506;209.94802373646064;162.74348217258904;370.31260871889225;166.98292084844377;339.565625384889
pitch_patient_6829-68769_1580-141083;68;280.5646546526071;286.1738313656821;213.68635540137055;162.93421241173408;309.6723386863339;166.23584077692942;299.4288556649724
pitch_patient_6829-68769_1580-141083;70;291.6093479017295;295.0087531313388;277.0060806583388;182.4926381724977;344.7326187330185;208.98076182573752;324.43528740524977
pitch_patient_6829-68769_1580-141083;72;298.475984850903;305.57680491528487;231.85747383884896;167.7716759287561;347.98641233232615;171.61520434628665;308.7069854965465
pitch_patient_6829-68769_1580-141083;74;311.2785459921138;317.8661454483534;204.7822615861971;176.56063765340656;361.3360051482386;182.30967332659847;292.8853828356434
pitch_patient_6829-68769_1580-141083;76;320.28767875788594;324.9996232429914;220.58603111203536;167.45575698378937;335.0487566826874;169.90411988764575;292.51686023780985
pitch_patient_6829-68769_1580-141083;78;329.57382282864165;333.27157717708513;190.8406604424443;158.95827486488236;329.49483142088866;160.88679629311392;311.85571671046586
pitch_patient_6829-68769_1580-141083;80;335.1651159699679;340.3017977956885;237.1314711903968;170.60393148439846;377.02937418065454;173.68849250214626;352.8288629482441
pitch_patient_6829-68769_1580-141083;82;342.24541021996794;349.2670772565468;230.52437733970004;186.59564321345178;396.42585625586304;194.09360542841029;289.15678884340423
pitch_patient_6829-68769_1580-141083;84;352.61146844835343;355.85163203114024;239.192558754741;206.67646469876394;374.04091900214877;208.6495377296991;272.68035001402757
pitch_patient_6829-68769_1580-141083;86;360.43083725479164;363.4154036274823;225.00685750820108;159.37186940093255;356.1724133274289;168.50674568220626;334.23922356500134
pitch_patient_6829-68769_1580-141083;88;365.2879310144906;367.94093996500305;224.7651635789657;166.65865793002064;365.2958788234116;192.1617570826178;342.10864004961013
pitch_patient_6829-68769_1580-141083;90;369.56545279095445;374.6051629987184;246.5865283367606;179.46120723631066;335.503155018344;198.59116454326121;288.4380804246107
pitch_patient_6829-68769_1580-141083;92;376.60123012064685;378.5478872265725;216.12389508694505;203.5669048863499;399.7973079986392;205.14742275545987;288.8423319345684
pitch_patient_6829-68769_1580-141083;94;381.00262858944893;385.6626839229156;250.11240225322945;181.85256045777695;396.796435603435;184.64783645625891;315.22285205726007
pitch_patient_6829-68769_1580-141083;96;387.367916452736;391.02063793507534;206.66748899285088;173.89455148377726;336.4915619860224;177.019138999736;262.0487802933615
pitch_patient_6829-68769_1580-141083;98;393.08116374761147;395.82948543985236;202.18729816156048;159.23599585129767;321.2367490721987;160.99279778873944;289.443286741627
pitch_patient_6829-68769_1580-141083;100;397.86362232317606;399.92266844723514;200.19628867253806;175.31863992781552;314.80322922612953;178.20140441436848;289.11285043167345
pitch_patient_6829-68769_1580-141083;102;405.97831144332656;407.75748367827157;212.61886654784354;179.9836234523604;244.6966119842668;181.34289551031205;231.26962444193398
pitch_patient_6829-68769_1580-141083;105;415.1041998201361;418.1345580866387;232.25481925561135;195.45364868188952;258.0106849097363;198.25026465027778;242.46891107525303
pitch_patient_6829-68769_1580-141083;107;420.22604986964393;422.7899793716706;211.2170855504351;182.36747095031626;256.4055441816444;185.64636930025296;248.85556048354562
pitch_patient_6829-68769_1580-141083;109;425.80315122922707;427.15975091437474;238.7769668255291;178.89369874063058;303.67121432306266;180.51788069348515;295.3143780550121
pitch_patient_6829-68769_1580-141083;112;431.40668770577594;433.9456612793138;257.0872492637091;180.06814214773655;312.84145580962957;191.51644605704698;292.46246063918704
pitch_patient_6829-68769_1580-141083;115;440.216569060582;443.5789224460771;212.2387573511071;156.10625714933286;308.2261213399829;160.7305205718414;271.06241212681294
